"filename", "language", "JavaScript", "HTML", "JSON", "TypeScript JSX", "XML", "TypeScript", "CSS", "JSON with Comments", "Properties", "Markdown", "comment", "blank", "total"
"/Users/david/Desktop/rainbow-auto/src/form/VehicleUsage.tsx", "TypeScript JSX", 0, 0, 0, 153, 0, 0, 0, 0, 0, 0, 1, 15, 169
"/Users/david/Desktop/rainbow-auto/src/form/Zipcode.tsx", "TypeScript JSX", 0, 0, 0, 161, 0, 0, 0, 0, 0, 0, 2, 13, 176
"/Users/david/Desktop/rainbow-auto/src/form/driverTwo/AddressTwo.tsx", "TypeScript JSX", 0, 0, 0, 247, 0, 0, 0, 0, 0, 0, 1, 15, 263
"/Users/david/Desktop/rainbow-auto/src/form/driverTwo/CarMakeTwo.tsx", "TypeScript JSX", 0, 0, 0, 127, 0, 0, 0, 0, 0, 0, 2, 14, 143
"/Users/david/Desktop/rainbow-auto/src/form/driverTwo/CarModelTwo.tsx", "TypeScript JSX", 0, 0, 0, 123, 0, 0, 0, 0, 0, 0, 1, 14, 138
"/Users/david/Desktop/rainbow-auto/src/form/driverTwo/CarTwoYear.tsx", "TypeScript JSX", 0, 0, 0, 115, 0, 0, 0, 0, 0, 0, 2, 14, 131
"/Users/david/Desktop/rainbow-auto/src/form/driverTwo/HistoryTwo.tsx", "TypeScript JSX", 0, 0, 0, 238, 0, 0, 0, 0, 0, 0, 0, 13, 251
"/Users/david/Desktop/rainbow-auto/src/form/driverTwo/IdentityTwo.tsx", "TypeScript JSX", 0, 0, 0, 268, 0, 0, 0, 0, 0, 0, 0, 11, 279
"/Users/david/Desktop/rainbow-auto/src/form/driverTwo/PersonalInformationTwo.tsx", "TypeScript JSX", 0, 0, 0, 197, 0, 0, 0, 0, 0, 0, 0, 14, 211
"/Users/david/Desktop/rainbow-auto/src/form/driverTwo/RiskTwo.tsx", "TypeScript JSX", 0, 0, 0, 189, 0, 0, 0, 0, 0, 0, 0, 13, 202
"/Users/david/Desktop/rainbow-auto/src/form/driverTwo/VehicleDataTwo.tsx", "TypeScript JSX", 0, 0, 0, 171, 0, 0, 0, 0, 0, 0, 1, 18, 190
"/Users/david/Desktop/rainbow-auto/src/form/driverTwo/VehicleUsageTwo.tsx", "TypeScript JSX", 0, 0, 0, 153, 0, 0, 0, 0, 0, 0, 1, 15, 169
"/Users/david/Desktop/rainbow-auto/src/hooks/useCarMakes.ts", "TypeScript", 0, 0, 0, 0, 0, 59, 0, 0, 0, 0, 0, 11, 70
"/Users/david/Desktop/rainbow-auto/src/hooks/useCarModels.ts", "TypeScript", 0, 0, 0, 0, 0, 57, 0, 0, 0, 0, 0, 11, 68
"/Users/david/Desktop/rainbow-auto/src/hooks/useCarYears.ts", "TypeScript", 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 6, 38
"/Users/david/Desktop/rainbow-auto/src/index.css", "CSS", 0, 0, 0, 0, 0, 0, 66, 0, 0, 0, 0, 3, 69
"/Users/david/Desktop/rainbow-auto/src/lib/creditOptions.ts", "TypeScript", 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 1, 19
"/Users/david/Desktop/rainbow-auto/src/lib/insuranceTypes.ts", "TypeScript", 0, 0, 0, 0, 0, 665, 0, 0, 0, 0, 0, 8, 673
"/Users/david/Desktop/rainbow-auto/src/lib/occupationOptions.ts", "TypeScript", 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 1, 38
"/Users/david/Desktop/rainbow-auto/src/lib/stateOptions.ts", "TypeScript", 0, 0, 0, 0, 0, 52, 0, 0, 0, 0, 0, 1, 53
"/Users/david/Desktop/rainbow-auto/src/lib/utils.ts", "TypeScript", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 2, 7
"/Users/david/Desktop/rainbow-auto/src/main.tsx", "TypeScript JSX", 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 3, 22
